ReportDate,DataYearMonth,CompanyCode,CompanyName,Industry,CurrentRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyChangePercent,YearlyChangePercent,CumulativeCurrentRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Remarks
"1131117","11310","5225","東科-KY","其他電子業","1085744","1327463","940649","-18.209095093422565","15.424988491987978","10724030","9070126","18.234630919129458","-"
"1131117","11310","5234","達興材料","光電業","352530","356441","365559","-1.0972362887546607","-3.5641305507455705","3402965","3632083","-6.308170820986194","-"
"1131117","11310","5243","乙盛-KY","光電業","1346529","1101101","941531","22.289326773838187","43.01483434958594","10790408","9826016","9.814679723704907","-"
"1131117","11310","5244","弘凱","光電業","75924","84150","80179","-9.775401069518717","-5.3068758652515","707921","697856","1.4422746239911959","-"
"1131117","11310","5258","虹堡","電腦及週邊設備業","683768","802323","745075","-14.776467831534182","-8.22829916451364","6369368","6509768","-2.1567588891032674","-"
"1131117","11310","5269","祥碩","半導體業","622811","527603","597873","18.045386398485224","4.171119953568734","6804169","5288248","28.665845474720552","-"
"1131117","11310","5283","禾聯碩","電器電纜","472487","504099","385860","-6.270990420532475","22.45037060073602","5446254","5207535","4.584107451990241","-"
"1131117","11310","5284","jpp-KY","其他","252569","207514","190732","21.711788120319593","32.42088375311956","1937229","1950288","-0.6695934138957939","-"
"1131117","11310","5285","界霖","半導體業","428101","465056","398246","-7.946354847588247","7.496622690497833","4225165","4263810","-0.9063490164899468","-"
"1131117","11310","5288","豐祥-KY","電機機械","523526","430057","544560","21.734095712893872","-3.8625679447627443","5934151","6022270","-1.4632190187421021","-"
"1131117","11310","5292","華懋","綠能環保","297131","204206","295651","45.50551893675994","0.5005902229317675","1836260","1737897","5.659886633097359","本公司完工百分比法係以投入成本為完工進度基礎，各期依工程安排時間不同而產生差異"
"1131117","11310","5306","桂盟","運動休閒","365999","442098","354450","-17.213151835113482","3.258287487656933","4187717","4038347","3.6987906190329856","-"
"1131117","11310","5388","中磊","通信網路業","3672723","4217710","4972105","-12.921395733703834","-26.13343845313001","47036961","51922952","-9.410079380694688","-"
"1131117","11310","5434","崇越","電子通路業","5238146","5314010","4343215","-1.4276224546058438","20.605265914765905","46328027","41383249","11.948742835537152","-"
"1131117","11310","5469","瀚宇博","電子零組件業","3404230","3833666","3610562","-11.201706147588235","-5.714678213530193","34859109","36501605","-4.499791173566203","無"
"1131117","11310","5471","松翰","半導體業","217378","221416","247673","-1.8237164432561332","-12.231854097943659","2245214","2147380","4.555970531531448","-"
"1131117","11310","5484","慧友","光電業","42181","22572","34357","86.87311713627503","22.7726518613383","400129","308620","29.651027153133303","-"
"1131117","11310","5515","建國","建材營造","633130","514265","350073","23.113569852119042","80.85656420232351","4559409","3256160","40.02410815193357","係因部分工案投入量增加，以致營收增加。"
"1131117","11310","5519","隆大","建材營造","481662","116115","470162","314.8146234336649","2.445965433191113","4119290","2202589","87.02036557887105","本年累計增加主要係出售J37案桃園市大園區客運一段54地號於本年完成程序認列土地收入較多所致。"
"1131117","11310","5521","工信","建材營造","678823","755194","563985","-10.112765726422614","20.361889057333084","5816410","4425368","31.433363281878478","無"
"1131117","11310","5522","遠雄","建材營造","2180633","2776267","1493898","-21.454492669473073","45.969336594600165","19800077","13277226","49.12811606882341","-"
"1131117","11310","5525","順天","建材營造","1383759","194254","81858","612.3451769332935","1590.4383200175914","4114782","4887391","-15.808209328862782","本月份主要營收為子公司建高-風聆樹成屋收入"
"1131117","11310","5531","鄉林","建材營造","101615","917553","234425","-88.92543536994593","-56.653513917031034","1530507","3588136","-57.345345884325454","建設業之銷售進度及狀況深受景氣榮枯及市場現狀影響，且建築個案之完工時間並非固定時點，故月營收的表現上會有較大之波動。"
"1131117","11310","5533","皇鼎","建材營造","351172","469004","149596","-25.123879540473002","134.74691836680125","1994773","3507848","-43.13399554370657","本月營收較去年同期增加達50%以上，係兩期個案營收組成因子不同。"
"1131117","11310","5534","長虹","建材營造","1494581","1579669","4096599","-5.386444881807518","-63.516541404223354","6694841","7078811","-5.42421601593827","本月營收較去年同期減少，主要係因本月過戶交屋數額較去年同期減少所致。"
"1131117","11310","5538","東明-KY","鋼鐵工業","1071369","1137063","922297","-5.777516285377327","16.16312315880893","10220934","10954590","-6.697247455176323","-"
"1131117","11310","5546","永固-KY","建材營造","205981","181267","300528","13.634031566694434","-31.46029654474791","2289844","3091007","-25.919158384306474","-"
"1131117","11310","5607","遠雄港","航運業","300593","289341","246746","3.8888370469446087","21.822846165692656","2849607","2374216","20.0230728796369","-"
"1131117","11310","5608","四維航","航運業","304778","311927","296158","-2.2918823955604997","2.910608526529758","2868988","2928334","-2.0266130844364065","-"
"1131117","11310","5706","鳳凰","觀光餐旅","389782","261443","317388","49.08871149734359","22.809305959897664","2680733","1944190","37.884311718504875","-"
"1131117","11310","5871","中租-KY","其他","8622001","8553950","8425309","0.7955505935854196","2.3345375226000615","85598710","80887192","5.824801038958059","-"
"1131117","11310","5876","上海商銀","金融保險業","4431406","3517947","3863725","25.965683962834007","14.692582934862083","43710461","42089710","3.850706027672797","-"
"1131117","11310","5880","合庫金","金融保險業","4842890","5456841","4670175","-11.251033335953897","3.6982554186941603","55673010","50769384","9.658628121231489","-"
"1131117","11310","5906","台南-KY","貿易百貨","142068","120405","174452","17.991777750093433","-18.56327241877422","1475795","1749972","-15.66750782298231","-"
"1131117","11310","5907","大洋-KY","貿易百貨","304363","232464","357707","30.929090095670727","-14.912763798304198","2703180","3169501","-14.7127576233609","-"
